primary_title,start_year,directors,primary_name,category
"Konec svetla",2002,nm0369736,"Jirí Havelka",actor
"Come and Go",2003,nm0599214,"João César Monteiro",actor
"Pretty as a Picture",2002,nm1000273,"Deborah Abbott",actress
"Blood of the Beast",2003,nm1499605,"Georg Koszulinski",actor
"Phil the Alien",2004,nm0824997,"Rob Stefaniuk",actor
"Dangerous Parking",2007,nm0398185,"Peter Howitt",actor
"Le veilleur",2003,nm1665058,"Frédéric Brival",actor
"Song of the Dead",2005,nm1729116,"Chip Gubera",actor
Feuille,2004,nm1779779,"Youxin Yang",actress
"Otakus in Love",2004,nm0559618,"Suzuki Matsuo",actor
"Then She Found Me",2007,nm0000166,"Helen Hunt",actress
Baggage,2008,nm0689324,"Stephen Polk",actor
"East Midlands Babylon",2006,nm2002697,"Graham Ball",actor
"Back Home",2006,nm1140699,"Rabah Ameur-Zaïmeche",actor
"14 Days in Great Britain",2006,nm1990881,"David William Gibbons",actor
Mercy,2006,nm1677820,"Mazdak Taebi",actor
"The Rat Thing",2007,nm3375668,"Kevin Keresey",actor
Secret,2007,nm1727100,"Jay Chou",actor
Psychosomatika,2010,nm0334106,"Jeff Dylan Graham",actor
Pusher,2010,nm0969998,"Assad Raja",actor
Christian,2008,nm10953723,"Florin Calin",actor
"The End",2007,nm1053568,"Jeremy Thomas",actor
"Sons of Perdition",2007,nm2780568,"Richard Chandler",actor
Anasuya,2007,nm2560181,"Ravi Babu",actor
Gabriella,2003,nm1667127,"Anthony Duva",actor
"34th & Park",2009,nm0669212,"Cameron Pearson",actor
Jolly,2009,nm3296029,"Ed Gaffney",actor
"The Clean Up Woman",2010,nm2987035,"JD Lawrence",actor
"4 w 1",2000,nm0636513,"Wenanty Nosul",actor
"Benvenuti in amore",2008,nm3571959,"Michele Coppini",actor
"Venous Red",2009,nm2551937,"Anthony Ochoa",actor
"Norman's Book",2009,nm3622413,"Edward Frizzelle",actor
"Sword of Digestive Calmness",2009,nm3417987,"Tristan Newcomb",actor
"Two Days Till Tomorrow",2001,nm3595762,"Robert Temple",actor
"Upper Hand",2010,nm2442464,"Michael Nolan",actor
"Simmons on Vinyl",2009,nm2222040,"Mark Potts",actor
"This Time Tomorrow",2010,nm3681927,"Russell Anway",actor
"Following Mandela",2009,nm3690130,"Kirsty Matthews",actress
"Paper Cut",2010,nm3793264,"Robert Greenwood",actor
"Unbroken: The Pearl Bluegrass Circle",2010,nm2652097,"Winston A. Hall",actor
"Indiana Jones und der Speer des Schicksals",2010,nm3878620,"Marcel Cornelius",actor
"Heavenly Place Manang",2005,nm3687058,"Jaswant Dev Shrestha",actor
"The Black Sheep",2010,nm2141178,"Ascanio Celestini",actor
"Rise of Revelation",2009,nm3125923,"Larry Greene",actor
"Promises Written in Water",2010,nm0001252,"Vincent Gallo",actor
"La tribu de Rivka",2010,nm0888079,"Sabrina Van Tassel",actress
"Into the Red",2010,nm4106707,"William Bary",actor
"Split Second",2010,nm1429810,"Jeffery Hauser",actor
"Project 847",2008,nm2276572,"Drew Kochera",actor
"Defending Against Attack 'The Complete Guide'",2008,nm4347216,"Frank Nezhadpournia",actor
"The Law's Revenge",2003,nm4317642,"Ryan Patricks",actor
"Teatro Avante, Una Tempestad",2008,nm2846520,"Ika Santamaria",actress
"You're Wonderful 2",2010,nm4255568,"Fabio Mucci",actor
"Due volte Natale",2003,nm2661915,"Marco Falaguasta",actor
"Digital Invasion",2010,nm6419195,"Douglas Reese",actor
"Bigger Questions... The Psychic Matrix",2008,nm2700635,"Ron James",actor
"Lost by Dead",2002,nm1702964,"Masato Tsujioka",actor
Encounters,2010,nm2830802,"Sabina Kurz",actress
"Medvezhya okhota",2007,nm0631792,"Valeriy Nikolaev",actor
"Shahji ki Advice",2006,nm0080377,"Jaspal Bhatti",actor
"Tales of Azbest Diabla",2008,nm3271326,"Sam Bahre",actor
"B-kyû video tsûshin: AV yarô nukaseya Ken-chan",2000,nm0595097,"Rokuro Mochizuki",actor
"Toilet Humor",2000,nm7644126,"Brewster Hammer",actor
"Narciso barocco",2009,nm2080770,"Flavio Sciolè",actor
Samiy-samiy-samiy-plokhoy,2010,nm5572825,"Pavel Fominenko",actor
"Salah bapak",2006,nm0046245,"A.R. Badul",actor
"Fully-Charged Videos",2007,nm8074432,"Dave Mitchell",actor
"The Lost Chapters",2002,nm5263629,"Marc Outbreak",actor
Midnight,2004,nm6498730,"Abdullah Al-Salman",actor
"Kühles Leder, starke Ketten, dominante Huren",2000,nm0077727,"Dru Berrymore",actress
"De Sancta Quiete",2010,nm4593572,"Nicola Vicidomini",actor
"House of Memories",2000,nm0031967,"Aparna Sen",actress
"The Discovery of Heaven",2001,nm0469103,"Jeroen Krabbé",actor
"Beautiful Memories",2001,nm0951456,"Zabou Breitman",actress
Djib,2000,nm0644147,"Jean Odoutan",actor
"De fûke",2000,nm0429535,"Steven de Jong",actor
"Unwitnessed Memories",2000,nm0944422,"Athena Xenidou",actress
"Every Dumped Boyfriend Is Lost",2001,nm0156930,"Piero Chiambretti",actor
"Visions of Sugarplums",2001,nm1081167,"Edward J. Fasulo",actor
"Search Agent Zerox",2001,nm1068981,"Noaz Deshe",actor
"I'll Be There",2003,nm0272401,"Craig Ferguson",actor
Separações,2002,nm0210659,"Domingos de Oliveira",actor
"The Big Durian",2003,nm0611243,"Amir Muhammad",actor
Roads,2003,nm0535702,"Marat Magambetov",actor
"Rus Gelin",2003,nm0016089,"Zeki Alasya",actor
"Moscow Gold",2003,nm0094625,"Jesús Bonilla",actor
"The Blind Swordsman: Zatoichi",2003,nm0001429,"Takeshi Kitano",actor
"Villa paranoia",2004,nm0165316,"Erik Clausen",actor
"Elle critique tout",2004,nm0727929,"Alain Riou",actor
"El amor y la ciudad",2006,nm0176118,"María Teresa Costantini",actress
"Glass Tiger 2",2006,nm0748919,"Péter Rudolf",actor
A2Z,2007,nm0794779,"Daryush Shokof",actor
"Un silenzio particolare",2004,nm0750048,"Stefano Rulli",actor
"Six jizo",2003,nm2089401,"Hiroshi Toda",actor
"Doing Therapy",2006,nm2252629,"Joe Giacobello",actor
"Sister Sarah's Sky",2005,nm1337966,"Michael Glover",actor
"Dead Air",2009,nm0000929,"Corbin Bernsen",actor
"Saturday the 14th II",2002,nm5696836,"Ryan James",actor
"Secret Insanity",2008,nm3207867,"Christian Gavin",actor
